Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Days,Year,Month,Month Name,Quarter,Day of Week,Year-Month,Year-Quarter,Profit Margin %,Unit Price,Cost,Cost per Unit,Profitability Category,Discount Level
B-25601,2018-04-01,2018-04-05,BlueDart Express,IND-CUST-1000,Bharat,Consumer,India,Ahmedabad,Gujarat,380001,West,IND-PRD-10000,Furniture,Bookcases,Bookcases - Grade Premium,19125.0,7,0.2,-13776.0,4,2018,4,Apr,Q2,Sunday,2018-04,2018-Q2,-72.03137254901961,2732.1428571428573,32901.0,4700.142857142857,Loss-Making (<0%),Moderate Discount (1-20%)
B-25601,2018-04-01,2018-04-06,Standard Express,IND-CUST-1000,Bharat,Consumer,India,Ahmedabad,Gujarat,380001,West,IND-PRD-10001,Clothing,Stole,Stole - Grade A,990.0,5,0.1,-144.0,5,2018,4,Apr,Q2,Sunday,2018-04,2018-Q2,-14.545454545454545,198.0,1134.0,226.8,Loss-Making (<0%),Moderate Discount (1-20%)
B-25601,2018-04-01,2018-04-04,Standard Express,IND-CUST-1000,Bharat,Consumer,India,Ahmedabad,Gujarat,380001,West,IND-PRD-10002,Clothing,Hankerchief,Hankerchief - Grade Premium,120.0,3,0.15,-24.0,3,2018,4,Apr,Q2,Sunday,2018-04,2018-Q2,-20.0,40.0,144.0,48.0,Loss-Making (<0%),Moderate Discount (1-20%)
B-25601,2018-04-01,2018-04-06,BlueDart Express,IND-CUST-1000,Bharat,Consumer,India,Ahmedabad,Gujarat,380001,West,IND-PRD-10003,Electronics,Electronic Games,Electronic Games - Grade Standard,1200.0,4,0.15,-672.0,5,2018,4,Apr,Q2,Sunday,2018-04,2018-Q2,-56.00000000000001,300.0,1872.0,468.0,Loss-Making (<0%),Moderate Discount (1-20%)
B-25602,2018-04-01,2018-04-06,Standard Express,IND-CUST-1001,Pearl,Consumer,India,Pune,Maharashtra,411001,West,IND-PRD-10004,Electronics,Phones,Phones - Grade Standard,2520.0,2,0.05,-1332.0,5,2018,4,Apr,Q2,Sunday,2018-04,2018-Q2,-52.85714285714286,1260.0,3852.0,1926.0,Loss-Making (<0%),Moderate Discount (1-20%)
B-25602,2018-04-01,2018-04-03,BlueDart Express,IND-CUST-1001,Pearl,Corporate,India,Pune,Maharashtra,411001,West,IND-PRD-10005,Electronics,Phones,Phones - Grade Standard,6360.0,5,0.05,-3264.0,2,2018,4,Apr,Q2,Sunday,2018-04,2018-Q2,-51.320754716981135,1272.0,9624.0,1924.8,Loss-Making (<0%),Moderate Discount (1-20%)
B-25602,2018-04-01,2018-04-04,Standard Express,IND-CUST-1001,Pearl,Consumer,India,Pune,Maharashtra,411001,West,IND-PRD-10006,Electronics,Phones,Phones - Grade A,39255.0,4,0.15,13812.0,3,2018,4,Apr,Q2,Sunday,2018-04,2018-Q2,35.18532670997325,9813.75,25443.0,6360.75,High Margin (>20%),Moderate Discount (1-20%)
B-25602,2018-04-01,2018-04-04,BlueDart Express,IND-CUST-1001,Pearl,Consumer,India,Pune,Maharashtra,411001,West,IND-PRD-10007,Clothing,Saree,Saree - Grade Standard,8415.0,3,0.05,2544.0,3,2018,4,Apr,Q2,Sunday,2018-04,2018-Q2,30.231729055258466,2805.0,5871.0,1957.0,High Margin (>20%),Moderate Discount (1-20%)
B-25602,2018-04-01,2018-04-04,Standard Express,IND-CUST-1001,Pearl,Small Business,India,Pune,Maharashtra,411001,West,IND-PRD-10008,Clothing,Saree,Saree - Grade A,1785.0,8,0.15,-60.0,3,2018,4,Apr,Q2,Sunday,2018-04,2018-Q2,-3.361344537815126,223.125,1845.0,230.625,Loss-Making (<0%),Moderate Discount (1-20%)
B-25603,2018-04-03,2018-04-08,Same Day Delivery,IND-CUST-1002,Jahan,Consumer,India,Bhopal,Madhya Pradesh,400001,Central,IND-PRD-10009,Clothing,Trousers,Trousers - Grade Premium,20325.0,5,0.25,-720.0,5,2018,4,Apr,Q2,Tuesday,2018-04,2018-Q2,-3.5424354243542435,4065.0,21045.0,4209.0,Loss-Making (<0%),High Discount (>20%)
B-25603,2018-04-03,2018-04-07,India Post Parcel,IND-CUST-1002,Jahan,Corporate,India,Bhopal,Madhya Pradesh,400001,Central,IND-PRD-10010,Furniture,Chairs,Chairs - Grade Standard,360.0,1,0.1,-360.0,4,2018,4,Apr,Q2,Tuesday,2018-04,2018-Q2,-100.0,360.0,720.0,720.0,Loss-Making (<0%),Moderate Discount (1-20%)
B-25603,2018-04-03,2018-04-06,India Post Parcel,IND-CUST-1002,Jahan,Consumer,India,Bhopal,Madhya Pradesh,400001,Central,IND-PRD-10011,Clothing,Saree,Saree - Grade Premium,2895.0,3,0.15,-1992.0,3,2018,4,Apr,Q2,Tuesday,2018-04,2018-Q2,-68.8082901554404,965.0,4887.0,1629.0,Loss-Making (<0%),Moderate Discount (1-20%)
B-25603,2018-04-03,2018-04-08,BlueDart Express,IND-CUST-1002,Jahan,Corporate,India,Bhopal,Madhya Pradesh,400001,Central,IND-PRD-10012,Clothing,Trousers,Trousers - Grade B,2700.0,3,0.15,60.0,5,2018,4,Apr,Q2,Tuesday,2018-04,2018-Q2,2.2222222222222223,900.0,2640.0,880.0,Moderate Margin (0-20%),Moderate Discount (1-20%)
B-25603,2018-04-03,2018-04-05,Standard Express,IND-CUST-1002,Jahan,Corporate,India,Bhopal,Madhya Pradesh,400001,Central,IND-PRD-10013,Clothing,Stole,Stole - Grade Premium,1740.0,4,0.15,192.0,2,2018,4,Apr,Q2,Tuesday,2018-04,2018-Q2,11.03448275862069,435.0,1548.0,387.0,Moderate Margin (0-20%),Moderate Discount (1-20%)
B-25603,2018-04-03,2018-04-07,Same Day Delivery,IND-CUST-1002,Jahan,Consumer,India,Bhopal,Madhya Pradesh,400001,Central,IND-PRD-10014,Clothing,Stole,Stole - Grade B,1605.0,6,0.05,432.0,4,2018,4,Apr,Q2,Tuesday,2018-04,2018-Q2,26.91588785046729,267.5,1173.0,195.5,High Margin (>20%),Moderate Discount (1-20%)
B-25603,2018-04-03,2018-04-05,Standard Express,IND-CUST-1002,Jahan,Small Business,India,Bhopal,Madhya Pradesh,400001,Central,IND-PRD-10015,Clothing,Hankerchief,Hankerchief - Grade Premium,180.0,2,0.0,12.0,2,2018,4,Apr,Q2,Tuesday,2018-04,2018-Q2,6.666666666666667,90.0,168.0,84.0,Moderate Margin (0-20%),No Discount (0%)
B-25603,2018-04-03,2018-04-07,Standard Express,IND-CUST-1002,Jahan,Consumer,India,Bhopal,Madhya Pradesh,400001,Central,IND-PRD-10016,Clothing,Kurti,Kurti - Grade A,570.0,1,0.05,216.0,4,2018,4,Apr,Q2,Tuesday,2018-04,2018-Q2,37.89473684210527,570.0,354.0,354.0,High Margin (>20%),Moderate Discount (1-20%)
B-25604,2018-04-03,2018-04-08,Standard Express,IND-CUST-1003,Divsha,Consumer,India,Jaipur,Rajasthan,302001,North,IND-PRD-10017,Clothing,T-shirt,T-shirt - Grade Premium,975.0,2,0.1,204.0,5,2018,4,Apr,Q2,Tuesday,2018-04,2018-Q2,20.923076923076923,487.5,771.0,385.5,High Margin (>20%),Moderate Discount (1-20%)
B-25604,2018-04-03,2018-04-04,BlueDart Express,IND-CUST-1003,Divsha,Corporate,India,Jaipur,Rajasthan,302001,North,IND-PRD-10018,Clothing,Saree,Saree - Grade A,2355.0,9,0.05,60.0,1,2018,4,Apr,Q2,Tuesday,2018-04,2018-Q2,2.547770700636943,261.6666666666667,2295.0,255.0,Moderate Margin (0-20%),Moderate Discount (1-20%)
B-25605,2018-04-05,2018-04-09,Same Day Delivery,IND-CUST-1004,Kasheen,Corporate,India,Kolkata,West Bengal,700001,East,IND-PRD-10019,Clothing,Saree,Saree - Grade A,1125.0,7,0.15,0.0,4,2018,4,Apr,Q2,Thursday,2018-04,2018-Q2,0.0,160.71428571428572,1125.0,160.71428571428572,Moderate Margin (0-20%),Moderate Discount (1-20%)
