Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
B-25601,2018-04-01,2018-04-05,BlueDart Express,IND-CUST-1000,Bharat,Consumer,India,Ahmedabad,Gujarat,380001,West,IND-PRD-10000,Furniture,Bookcases,Bookcases - Grade Premium,19125.0,7,0.2,-13776.0
B-25601,2018-04-01,2018-04-06,Standard Express,IND-CUST-1000,Bharat,Consumer,India,Ahmedabad,Gujarat,380001,West,IND-PRD-10001,Clothing,Stole,Stole - Grade A,990.0,5,0.1,-144.0
B-25601,2018-04-01,2018-04-04,Standard Express,IND-CUST-1000,Bharat,Consumer,India,Ahmedabad,Gujarat,380001,West,IND-PRD-10002,Clothing,Hankerchief,Hankerchief - Grade Premium,120.0,3,0.15,-24.0
B-25601,2018-04-01,2018-04-06,BlueDart Express,IND-CUST-1000,Bharat,Consumer,India,Ahmedabad,Gujarat,380001,West,IND-PRD-10003,Electronics,Electronic Games,Electronic Games - Grade Standard,1200.0,4,0.15,-672.0
B-25602,2018-04-01,2018-04-06,Standard Express,IND-CUST-1001,Pearl,Consumer,India,Pune,Maharashtra,411001,West,IND-PRD-10004,Electronics,Phones,Phones - Grade Standard,2520.0,2,0.05,-1332.0
B-25602,2018-04-01,2018-04-03,BlueDart Express,IND-CUST-1001,Pearl,Corporate,India,Pune,Maharashtra,411001,West,IND-PRD-10005,Electronics,Phones,Phones - Grade Standard,6360.0,5,0.05,-3264.0
B-25602,2018-04-01,2018-04-04,Standard Express,IND-CUST-1001,Pearl,Consumer,India,Pune,Maharashtra,411001,West,IND-PRD-10006,Electronics,Phones,Phones - Grade A,39255.0,4,0.15,13812.0
B-25602,2018-04-01,2018-04-04,BlueDart Express,IND-CUST-1001,Pearl,Consumer,India,Pune,Maharashtra,411001,West,IND-PRD-10007,Clothing,Saree,Saree - Grade Standard,8415.0,3,0.05,2544.0
B-25602,2018-04-01,2018-04-04,Standard Express,IND-CUST-1001,Pearl,Small Business,India,Pune,Maharashtra,411001,West,IND-PRD-10008,Clothing,Saree,Saree - Grade A,1785.0,8,0.15,-60.0
B-25603,2018-04-03,2018-04-08,Same Day Delivery,IND-CUST-1002,Jahan,Consumer,India,Bhopal,Madhya Pradesh,400001,Central,IND-PRD-10009,Clothing,Trousers,Trousers - Grade Premium,20325.0,5,0.25,-720.0
B-25603,2018-04-03,2018-04-07,India Post Parcel,IND-CUST-1002,Jahan,Corporate,India,Bhopal,Madhya Pradesh,400001,Central,IND-PRD-10010,Furniture,Chairs,Chairs - Grade Standard,360.0,1,0.1,-360.0
B-25603,2018-04-03,2018-04-06,India Post Parcel,IND-CUST-1002,Jahan,Consumer,India,Bhopal,Madhya Pradesh,400001,Central,IND-PRD-10011,Clothing,Saree,Saree - Grade Premium,2895.0,3,0.15,-1992.0
B-25603,2018-04-03,2018-04-08,BlueDart Express,IND-CUST-1002,Jahan,Corporate,India,Bhopal,Madhya Pradesh,400001,Central,IND-PRD-10012,Clothing,Trousers,Trousers - Grade B,2700.0,3,0.15,60.0
B-25603,2018-04-03,2018-04-05,Standard Express,IND-CUST-1002,Jahan,Corporate,India,Bhopal,Madhya Pradesh,400001,Central,IND-PRD-10013,Clothing,Stole,Stole - Grade Premium,1740.0,4,0.15,192.0
B-25603,2018-04-03,2018-04-07,Same Day Delivery,IND-CUST-1002,Jahan,Consumer,India,Bhopal,Madhya Pradesh,400001,Central,IND-PRD-10014,Clothing,Stole,Stole - Grade B,1605.0,6,0.05,432.0
B-25603,2018-04-03,2018-04-05,Standard Express,IND-CUST-1002,Jahan,Small Business,India,Bhopal,Madhya Pradesh,400001,Central,IND-PRD-10015,Clothing,Hankerchief,Hankerchief - Grade Premium,180.0,2,0.0,12.0
B-25603,2018-04-03,2018-04-07,Standard Express,IND-CUST-1002,Jahan,Consumer,India,Bhopal,Madhya Pradesh,400001,Central,IND-PRD-10016,Clothing,Kurti,Kurti - Grade A,570.0,1,0.05,216.0
